Year,Month,Data_value
2018,11,5048.8
2018,12,6124.7
2019,1,4885.2
2019,2,4510.9
2019,3,4950.3
2019,4,4715.5
2019,5,4731.3
2019,6,4559.8
2019,7,4613
2019,8,4726
2019,9,4611
2019,1,4986.6
2019,11,5367.2
2019,12,6378
2020,1,5096.5
2020,2,4921.5
2020,3,4995.2
2020,4,2656.2
2020,5,4614.4
2020,6,5020.1
2020,7,5229
2020,8,4792.3
2020,9,5032.2
2020,1,5511.7
2020,11,5542.6
2020,12,6682.9
2021,1,5287.3
2021,2,4716.5
2021,3,5179.6
2021,4,5261
2021,5,5376.7
2021,6,5186.1
2021,7,5463.5
2000,1,
2000,2,
2000,3,
2000,4,
2000,5,
2000,6,
2000,7,
2000,8,
2000,9,
2000,1,
2000,11,
2000,12,
2001,1,
2001,2,
2001,3,
2001,4,
2001,5,
2001,6,
2001,7,
2001,8,
2001,9,
2001,1,
2001,11,
2001,12,
2002,1,
2002,2,
2002,3,
2002,4,
2002,5,
2002,6,
2002,7,
2002,8,
2002,9,
2002,1,2820
2002,11,2880
2002,12,3498.4
2003,1,2848.9
2003,2,2713.4
2003,3,2941.7
2003,4,2801.5
2003,5,2913.5
2003,6,2696.8
2003,7,2957.9
2003,8,2927.8
2003,9,2871.6
2003,1,3076.3
2003,11,3166.8
2003,12,3911.9
2004,1,3166.5
2004,2,3057.1
2004,3,3330.9
2004,4,3216.2
2004,5,3210.8
2004,6,3087
2004,7,3325.8
2004,8,3230.1
2004,9,3221.4
2004,1,3361.6
2004,11,3518.5
2004,12,4259.4
2005,1,3390.8
2005,2,3311.7
2005,3,3622.9
2005,4,3493
2005,5,3437.1
2005,6,3373
2005,7,3582
2005,8,3549.1
2005,9,3532.9
2005,1,3669.5
2005,11,3822.2
2005,12,4578.1
2006,1,3669.6
2006,2,3579.8
2006,3,4017.5
2006,4,3733.6
2006,5,3873.1
2006,6,3733.8
2006,7,3878.9
2006,8,3904
2006,9,3830.1
2006,1,3990.1
2006,11,4205.2
2006,12,5044.4
2007,1,4059.3
2007,2,3956.4
2007,3,4407.9
2007,4,4057.8
2007,5,4204.8
2007,6,4050
2007,7,4187.6
2007,8,4263.9
2007,9,4146.9
2007,1,4352.4
2007,11,4620.6
2007,12,5415.4
2008,1,4409.5
2008,2,4398.8
2008,3,4561.5
2008,4,4355
2008,5,4523.8
2008,6,4160.4
2008,7,4476
2008,8,4449.9
2008,9,4372.2
2008,1,4641.2
2008,11,4619.5
2008,12,5483.4
2009,1,4479.5
2009,2,4281.7
2009,3,4632.8
2009,4,4430.9
2009,5,4537.2
2009,6,4260.8
2009,7,4590.4
2009,8,4503.1
2009,9,4453.5
2009,1,4697
2009,11,4742.2
2009,12,5737
2010,1,4646.5
2010,2,4447.5
2010,3,4931.1
2010,4,4596.4
2010,5,4654.2
2010,6,4460.6
2010,7,4760.5
2010,8,4636.5
2010,9,4676.3
2010,1,4883.7
2010,11,5078.8
2010,12,6074.1
2011,1,4884.5
2011,2,4711.7
2011,3,5207.7
2011,4,4992.2
2011,5,4978.7
2011,6,4803.7
2011,7,5070.9
2011,8,4993.7
2011,9,4969.8
2011,1,5220.3
2011,11,5375.1
2011,12,6407.9
2012,1,5155.6
2012,2,5143.5
2012,3,5503.1
2012,4,5086.2
2012,5,5316.4
2012,6,5079.7
2012,7,5187.3
2012,8,5330.4
2012,9,5135
2012,1,5445.1
2012,11,5692.5
2012,12,6607.4
2013,1,5479.4
2013,2,5250.3
2013,3,5686.5
2013,4,5424.6
2013,5,5621.9
2013,6,5311.4
2013,7,5607.4
2013,8,5659.7
2013,9,5379
2013,1,5831.1
2013,11,6045
2013,12,7002.8
2014,1,5830.2
2014,2,5556
2014,3,5978
2014,4,5667.8
2014,5,5987.8
2014,6,5547.8
2014,7,5857.7
2014,8,5818
2014,9,5645.2
2014,1,6154.3
2014,11,6221.2
2014,12,7318.5
2015,1,6083.4
2015,2,5766.4
2015,3,6252.2
2015,4,5907.2
2015,5,6167.5
2015,6,5875.9
2015,7,6257.5
2015,8,6110.4
2015,9,6006.1
2015,1,6486.6
2015,11,6542.6
2015,12,7801.1
2016,1,6395.7
2016,2,6314.6
2016,3,6623.3
2016,4,6412.9
2016,5,6411.5
2016,6,6256.9
2016,7,6536.8
2016,8,6365.8
2016,9,6387
2016,1,6759.1
2016,11,6924.3
2016,12,8215.9
2017,1,7006
2017,2,6704.1
2017,3,7353.8
2017,4,6852.2
2017,5,7103.3
2017,6,6823.8
2017,7,6973.8
2017,8,7020.9
2017,9,6898
2017,1,7294.3
2017,11,7688.1
2017,12,8856.3
2018,1,7382.8
2018,2,7025.5
2018,3,7765.5
2018,4,7095.9
2018,5,7433.1
2018,6,7163.6
2018,7,7317.9
2018,8,7470.3
2018,9,7265.3
2018,1,7775.1
2018,11,8023.5
2018,12,9004.8
2019,1,7707.2
2019,2,7287.1
2019,3,7902
2019,4,7455.4
2019,5,7721.9
2019,6,7272.9
2019,7,7548.3
2019,8,7711.8
2019,9,7416.1
2019,1,7989.7
2019,11,8351.7
2019,12,9299.1
2020,1,7997.3
2020,2,7831.6
2020,3,7372.9
2020,4,3631.6
2020,5,6704.9
2020,6,7578.1
2020,7,8022.2
2020,8,7300.4
2020,9,7653.7
2020,1,8278
2020,11,8286.9
2020,12,9468.2
2021,1,7845.1
2021,2,7199.9
2021,3,7947.1
2021,4,7882.3
2021,5,8192.8
2021,6,7987.6
2021,7,8499.7
2000,1,
2000,2,
2000,3,
2000,4,
2000,5,
2000,6,
2000,7,
2000,8,
2000,9,
2000,1,
2000,11,
2000,12,
2001,1,
2001,2,
2001,3,
2001,4,
2001,5,
2001,6,
2001,7,
2001,8,
2001,9,
2001,1,
2001,11,
2001,12,
2002,1,
2002,2,
2002,3,
2002,4,
2002,5,
2002,6,
2002,7,
2002,8,
2002,9,
2002,1,1204.4
2002,11,1291.3
2002,12,1587.8
2003,1,1275.4
2003,2,1246.5
2003,3,1326
2003,4,1215.2
2003,5,1236.9
2003,6,1144.4
2003,7,1270.9
2003,8,1243
2003,9,1238.7
2003,1,1334.8
2003,11,1429.8
2003,12,1797
2004,1,1434.4
2004,2,1414.9
2004,3,1547.6
2004,4,1437.6
2004,5,1417.6
2004,6,1357
2004,7,1470.4
2004,8,1438.5
2004,9,1429.9
2004,1,1513.8
2004,11,1640.9
2004,12,1967.8
2005,1,1551.9
2005,2,1565.5
2005,3,1690.4
2005,4,1575.6
2005,5,1529.3
2005,6,1490.4
2005,7,1604.4
2005,8,1589.3
2005,9,1578.6
2005,1,1656.4
2005,11,1773
2005,12,2114.1
2006,1,1694.8
2006,2,1703.7
2006,3,1901.1
2006,4,1692.9
2006,5,1757.3
2006,6,1664.8
2006,7,1750.5
2006,8,1760.8
2006,9,1717.2
2006,1,1819.8
2006,11,1962.1
2006,12,2337.1
2007,1,1876.6
2007,2,1867.5
2007,3,2065.6
2007,4,1823.6
2007,5,1871.4
2007,6,1787.8
2007,7,1881
2007,8,1894.7
2007,9,1853.5
2007,1,1972.6
2007,11,2156.3
2007,12,2507.8
2008,1,2034.6
2008,2,2074.5
2008,3,2124.5
2008,4,1979.6
2008,5,2016.7
2008,6,1864.1
2008,7,2016.8
2008,8,1969.5
2008,9,1958.4
2008,1,2053.3
2008,11,2072.4
2008,12,2461.2
2009,1,1965.8
2009,2,1940.4
2009,3,2082.9
2009,4,1902.6
2009,5,1906.3
2009,6,1806.2
2009,7,1957.7
2009,8,1897.7
2009,9,1896.5
2009,1,1999.7
2009,11,2089.6
2009,12,2525.8
